student_no;height;head_circumference;sex;no_siblings;handedness;dominant_foot;dominant_eye
1;168;;Female;1;Right;Right;Right
2;170;92;Male;3;Right;Left;Right
3;168;56.5;Female;1;Right;Right;Right
4;168;55.5;Female;4;Right;Right;Right
5;180;61.5;Male;1;Right;Right;Left
6;177;61;Male;0;Right;Right;Left
7;176;61.5;Female;2;Right;Right;Right
8;164;56;Female;1;Left;Right;Right
9;178;57.5;Female;0;Right;Right;Right
10;167;53;Female;3;Right;Right;Left
11;174;56;Female;1;Right;Right;Left
12;158;56;Female;1;Right;Right;Right
13;165;54;Female;1;Right;Right;Left
14;175;59.9;Male;1;Right;Right;Left
15;160;;Female;5;Right;Left;Left
16;166;57;Female;3;Right;Right;Right
17;170;54;Female;1;Right;Right;Right
18;175;58;Male;1;Right;Right;Right
19;162;58;Male;1;Right;Right;Right
20;165;55;Female;2;Right;Right;Right
21;171;58;Female;3;Right;Right;Right
22;170.68;56;Male;1;Right;Right;Right
23;160;56;Female;7;Right;Right;Right
24;168;58;Female;1;Right;Right;Right
25;179;58;Male;1;Right;Right;Right
26;173;56;Female;1;Right;Right;Right
27;180;62;Male;5;Right;Right;Right
28;162;54.5;Female;1;Right;Right;Right
29;1.64;60;Male;6;Right;Right;Left
30;174;58;Female;3;Right;Right;Right
31;165;56;Female;2;Right;Right;Right
32;168;57;Female;5;Right;Right;Right
33;184;60.5;Male;2;Right;Right;Left
34;180;56;Female;2;Right;Right;Right
35;167;58;Female;1;Right;Right;Right
36;176;60;Male;10;Right;Right;Right
