id;postal_code;postal_area;radon_amount
KC363;3677;NOTODDEN;60
KC793;3679;NOTODDEN;20
KC617;3679;NOTODDEN;30
KC764;3677;NOTODDEN;50
KC799;3683;NOTODDEN;60
KC768;3681;NOTODDEN;60
KC781;3677;NOTODDEN;50
KC396;3684;NOTODDEN;100
KC785;3277;STEINSHOLT;100
KC418;3684;NOTODDEN;60
KC647;3677;NOTODDEN;20
KC641;3678;NOTODDEN;60
KC664;3681;NOTODDEN;80
KC669;3675;NOTODDEN;20
KC775;3676;NOTODDEN;30
KC429;3683;NOTODDEN;20
KC789;3683;NOTODDEN;50
KC406;3677;NOTODDEN;370
KC738;3677;NOTODDEN;20
KC433;3681;NOTODDEN;180
KC643;3677;NOTODDEN;90
KC786;3683;NOTODDEN;20
KC772;3681;NOTODDEN;30
KC796;3684;NOTODDEN;
KC616;3676;NOTODDEN;190
KC784;3677;NOTODDEN;30
KC794;3676;NOTODDEN;30
KC417;3675;NOTODDEN;50
KC787;3675;NOTODDEN;110
KC640;3679;NOTODDEN;40
KC675;3675;NOTODDEN;90
KC656;3683;NOTODDEN;70
KC667;3678;NOTODDEN;60
KC446;3676;NOTODDEN;260
KC634;3677;NOTODDEN;70
KC445;3676;NOTODDEN;40
KC769;3674;NOTODDEN;30
KC780;3677;NOTODDEN;50
KC631;3675;NOTODDEN;30
KC765;3677;NOTODDEN;30
KC646;3676;NOTODDEN;20
KC663;1472;FJELLHAMAR;130
KC723;3675;NOTODDEN;40
KC767;3678;NOTODDEN;280
KC782;3679;NOTODDEN;70
KC734;3676;NOTODDEN;40
KC654;3677;NOTODDEN;150
KC797;3683;NOTODDEN;60
KC668;3675;NOTODDEN;30
KC762;3683;NOTODDEN;
KC629;3676;NOTODDEN;10
KC661;3681;NOTODDEN;30
KC670;3676;NOTODDEN;40
KC740;3676;NOTODDEN;20
KC736;3684;NOTODDEN;160
KC798;3679;NOTODDEN;130
KC666;3677;NOTODDEN;130
KC639;3692;SAULAND;70
KC405;3684;NOTODDEN;20
KC791;3681;NOTODDEN;210
KC627;3676;NOTODDEN;70
KC644;3683;NOTODDEN;80
KC578;3683;NOTODDEN;120
KC628;3684;NOTODDEN;160
KC778;3676;NOTODDEN;80
KC642;3677;NOTODDEN;30
KC648;3676;NOTODDEN;70
KC435;3678;NOTODDEN;90
KC790;3679;NOTODDEN;
KC657;3675;NOTODDEN;70
KC776;3683;NOTODDEN;70
