Country;Continent;Adolescent fertility rate (births per 1000 women ages 15-19);Agricultural land (sq. km);Aid per capita (current US$);Air transport passengers carried;Arable land (hectares);Birth rate crude (per 1000 people);Death rate crude (per 1000 people);Fertility rate total (births per woman);Forest area (sq. km);GDP (constant 2000 US$);Health expenditure per capita (current US$);Immunization DPT (% of children ages 12-23 months);Inflation consumer prices (annual %);Internet users (per 100 people);Land area (sq. km);Life expectancy at birth female (years);Life expectancy at birth male (years);Life expectancy at birth total (years);Military expenditure (% of GDP);Mortality rate adult female (per 1000 female adults);Mortality rate adult male (per 1000 male adults);Mortality rate infant (per 1000 live births);Personal computers (per 100 people);Population growth (annual %);Population total;Population female (% of total);Prevalence of HIV total (% of population ages 15-49);Ratio of female to male primary enrollment;Ratio of female to male secondary enrollment;Surface area (sq. km)
Afghanistan;Asia;.;380480;.;.;7910000;.;.;.;8670;.;20;76;.;1;652090;.;.;.;10;.;.;.;0;.;.;.;0;59;33;652090
Albania;Europe;16;11230;101;195702;578000;17;6;2;7940;4793518592;169;98;2;6;27400;79;73;76;1;52;109;16;2;1;3153731;50;0;.;.;28750
Algeria;Middle East & North Africa;8;411500;11;3037298;7450000;21;5;2;22770;6.97E+10;108;88;2;6;2381740;73;70;72;3;107;125;34;1;1;32854159;49;0;93;108;2381740
AmericanSamoa;Pacific;.;50;.;.;2000;.;.;.;180;.;.;.;.;.;200;.;.;.;.;.;.;.;.;2;58300;.;.;.;.;200
Andorra;Europe;.;260;.;.;1000;.;.;.;160;.;2556;98;.;33;470;.;.;.;.;.;.;3;.;0;66200;.;.;95;112;470
Angola;Sub-Saharan Africa;140;575900;27;239795;3300000;48;21;7;591040;1.49E+10;36;47;25;1;1246700;44;40;42;5;439;492;154;1;3;16095214;51;4;.;.;1246700
AntiguaandBarbuda;Latin America & Caribbean;.;140;94;778260;8000;.;.;.;90;804826688;503;99;.;35;440;.;.;.;.;.;.;10;15;1;83039;.;.;.;.;440
Argentina;Latin America & Caribbean;58;1293550;3;6938436;28500000;18;8;2;330210;3.14E+11;484;92;10;18;2736690;79;71;75;1;82;171;14;9;1;38747148;51;1;.;.;2780400
Armenia;Middle East & North Africa;30;13900;64;555795;495000;12;9;1;2830;3402389504;88;90;1;5;28200;75;68;71;3;89;198;23;10;0;3017661;53;0;104;103;29800
Aruba;Latin America & Caribbean;25;20;.;.;2000;.;.;.;.;.;.;.;3;24;180;.;.;.;.;78;139;.;8;1;100300;52;.;97;103;180
Australia;Pacific;15;4451490;.;44657324;49402000;13;6;2;1636780;4.70E+11;3181;92;3;70;7682300;83;78;81;2;.;.;5;76;1;20399836;50;0;100;96;7741220
Austria;Europe;12;32630;.;8037890;1387000;10;9;1;38620;2.08E+11;3788;86;2;49;82450;82;77;79;1;55;111;4;61;1;8233300;50;0;100;95;83870
Azerbaijan;Middle East & North Africa;29;47586;27;1134300;1843200;17;6;2;9360;9911157760;62;93;12;8;82660;75;70;72;2;104;219;74;2;1;8391850;51;0;98;97;86600
Bahamas;Latin America & Caribbean;54;140;.;1020000;8000;17;6;2;5150;.;1224;93;2;32;10010;75;70;72;1;161;232;13;12;1;323295;51;3;100;100;13880
Bahrain;Middle East & North Africa;18;100;.;.;2000;18;3;2;.;1.07E+10;710;98;3;21;710;77;74;75;3;74;106;9;18;2;724788;43;0;99;105;710
Bangladesh;Asia;134;90110;9;1634473;7951000;26;8;3;8710;6.14E+10;12;88;7;0;130170;64;62;63;1;207;239;54;1;2;153281120;49;0;.;.;144000
Barbados;Latin America & Caribbean;42;190;-7;.;16000;11;7;2;20;.;725;92;6;55;430;79;74;77;.;62;114;11;14;0;291933;51;2;100;100;430
Belarus;Europe;23;88600;6;281877;5455000;9;15;1;78940;1.83E+10;204;99;10;35;207480;74;63;68;1;128;368;12;1;0;9775591;53;0;97;102;207600
Belgium;Europe;8;13860;.;3340509;844000;11;10;2;6670;2.49E+11;3451;97;3;46;30230;82;77;79;1;62;114;4;38;1;10478650;50;0;100;97;30530
Belize;Latin America & Caribbean;84;1520;41;.;70000;28;5;3;16530;1082180096;198;96;4;9;22810;74;69;72;.;74;147;15;14;3;291800;49;2;96;102;22970
Benin;Sub-Saharan Africa;127;35670;41;.;2750000;41;12;6;23510;2727160320;28;93;5;5;110620;57;55;56;.;243;295;89;0;3;8490301;50;2;80;57;112620
Bermuda;Latin America & Caribbean;.;10;.;.;1000;13;7;2;10;.;.;.;.;66;50;81;76;79;.;.;.;.;.;0;63570;.;.;103;109;50
Bhutan;Asia;42;5920;141;49092;159000;20;7;2;31950;649771200;52;95;5;4;47000;67;63;65;.;178;228;65;2;2;637013;47;0;97;88;47000
Bolivia;Latin America & Caribbean;81;377680;69;1892343;3050000;29;8;4;587400;9742456832;71;81;5;5;1084380;67;63;65;2;180;240;52;2;2;9182015;50;0;.;.;1098580
BosniaandHerzegovina;Europe;21;21470;141;.;1000000;9;9;1;21850;6798370816;243;93;.;21;51200;77;72;74;2;78;150;13;5;0;3915238;51;0;.;.;51210
Botswana;Sub-Saharan Africa;56;259800;26;229987;377000;25;15;3;119430;8045992960;362;97;9;3;566730;49;49;49;3;583;604;87;5;1;1835938;50;24;98;105;581730
Brazil;Latin America & Caribbean;89;2636000;1;37661733;59000000;20;6;2;4776980;7.38E+11;371;96;7;17;8459420;76;68;72;1;125;238;20;16;1;186830759;50;1;.;.;8514880
BruneiDarussalam;Asia;29;250;.;977516;14000;22;3;2;2780;6649483264;519;99;1;36;5270;79;75;77;3;66;91;8;9;2;373831;48;0;100;104;5770
Bulgaria;Europe;42;52650;.;653703;3173000;9;15;1;36250;1.63E+10;272;96;5;21;108640;76;69;73;2;92;221;12;6;-1;7740000;51;0;99;96;111000
BurkinaFaso;Sub-Saharan Africa;133;109000;49;66273;4840000;45;15;6;67940;3529520128;27;96;6;0;273600;53;50;52;1;191;292;121;0;3;13933363;50;2;80;71;274000
Burundi;Sub-Saharan Africa;55;23260;46;.;971000;46;16;7;1520;789697344;3;74;14;1;25680;50;47;49;6;384;420;109;1;4;7858791;51;3;86;74;27830
Cambodia;Asia;45;53560;39;168810;3700000;27;9;3;104470;5697206272;29;82;6;0;176520;61;56;58;2;253;372;67;0;2;13955507;51;2;89;.;181040
Cameroon;Sub-Saharan Africa;125;91600;23;384059;5960000;36;15;5;212450;1.21E+10;49;80;2;1;465400;51;50;50;1;420;419;87;1;2;17795149;50;5;85;80;475440
Canada;North America;14;675000;.;45229860;45660000;10;7;2;3101340;8.22E+11;3430;94;2;68;9093510;83;78;80;1;.;.;5;88;1;32312000;50;0;.;.;9984670
CapeVerde;Sub-Saharan Africa;87;740;320;690000;46000;30;5;4;840;680688576;114;73;0;6;4030;74;68;71;.;104;180;26;11;2;506807;52;.;95;107;4030
CaymanIslands;Latin America & Caribbean;.;30;.;.;1000;.;.;.;120;.;.;.;.;44;260;.;.;.;.;.;.;.;.;2;45000;.;.;89;92;260
CentralAfricanRepublic;Sub-Saharan Africa;122;52200;23;.;1930000;37;19;5;227550;914782976;13;40;3;0;623000;46;43;44;1;539;573;115;0;2;4191429;51;11;69;.;623000
Chad;Sub-Saharan Africa;174;492300;38;.;4200000;46;16;6;119210;2776428800;22;20;8;0;1259200;52;49;51;1;298;349;124;0;3;10145609;50;4;68;33;1284000
ChannelIslands;Europe;11;76;.;.;3800;10;10;1;10;.;.;.;.;.;190;81;76;79;.;43;81;.;.;0;148622;50;.;.;.;190
